,Compound Score,Date,Neg Score,Neu Score,Pos Score,Source Acc.,Tweet
50,0.4019,03/25/18,0.0,0.856,0.144,CBSNews,Former Pres. Jimmy Carter tells @CBSSunday that he's willing to help Pres. Trump on North Korea… https://t.co/vxwIz7J2fl
51,-0.5106,03/25/18,0.301,0.699,0.0,CBSNews,How one tweet offering a home to gun protesters started a movement https://t.co/kdWhGz4cXb https://t.co/lQBl8DyFMf
52,-0.4767,03/25/18,0.237,0.763,0.0,CBSNews,"Drugs laced with bug spray blamed for ""zombie""-like effects https://t.co/ZP1OJFEQUP https://t.co/kFhpKurlC3"
53,0.0,03/25/18,0.0,1.0,0.0,CBSNews,What are the limits of at-home genetic tests? https://t.co/3CRpdYeeXR https://t.co/bAHQce8zdR
54,-0.4019,03/25/18,0.213,0.787,0.0,CBSNews,"Carles Puigdemont, fugitive ex-Catalan leader, detained by German police https://t.co/25QeO9GVqA https://t.co/nzgQ6dqNvE"
55,0.4019,03/25/18,0.0,0.838,0.162,CBSNews,Doctor says Penn State pledge may have lived if help was called sooner https://t.co/58BoZSGYJj https://t.co/JwiEnqWVZc
56,0.4215,03/25/18,0.0,0.823,0.177,CBSNews,"Las Vegas gunman showed ""true mark of a sociopath,"" retired police lieutenant says https://t.co/xoSJg4WvOz https://t.co/zh2aH64vkt"
57,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Craigslist closes personals section in U.S. https://t.co/WljqiFokld https://t.co/OuoTpuXkTw
58,-0.7003,03/25/18,0.293,0.707,0.0,CBSNews,"Austin bombing suspect's roommate was kept in custody until after suspect died, mom says https://t.co/274wfYdrGo https://t.co/eqLGNk58oK"
59,-0.1027,03/25/18,0.194,0.631,0.176,CBSNews,"Son of nanny on trial for murdering 2 kids says she loved them, report says https://t.co/d3duTs7zBQ https://t.co/Qfa8TYxDP1"
60,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"After more than 150 whales were stranded on beach in Hamelin Bay in western Australia, only a few survive… https://t.co/7H1NXk2f31"
61,0.0,03/25/18,0.0,1.0,0.0,CBSNews,5 reasons stocks are getting slammed https://t.co/oFPN54foDj https://t.co/5sfhCWlwDC
62,0.0,03/25/18,0.0,1.0,0.0,CBSNews,"Jess Wolfe and Holly Laessig of indie pop's Lucius on their ""vocal kinship"" and look https://t.co/KgY5hzhWc1 https://t.co/J9cnpaMcK1"
63,-0.7351,03/25/18,0.383,0.617,0.0,CBSNews,"Parents accused of shackling, torturing their children appear in court https://t.co/TeocvdI76A https://t.co/HP9WJDIpMM"
64,0.0,03/25/18,0.0,1.0,0.0,CBSNews,Cops: 4-year-old boy shot his infant sibling inside Texas home https://t.co/2NXwDP00Go https://t.co/dTXNqsNgcP
